Name,MHP,MMP,STR,DEF,MAG,RES,SPD,SKL,LCK,MOV,JMP,FRT
Aeromancer,0.7,1.0,0.45,0.6,1.0,1.0,0.6,0.7,0.5,0.0,0.0,1.00
Alchemist,0.6,0.7,0.9,0.4,0.6,0.9,0.5,0.9,0.6,0.0,0.0,0.65
Archer,0.7,0.7,0.9,0.7,0.35,0.5,0.9,0.9,0.8,0.0,0.0,0.45
Artisan,0.6,0.6,0.7,0.6,0.4,0.5,0.5,0.5,0.5,0.0,0.0,0.65
Assassin,0.8,0.8,0.8,0.6,0.45,0.6,1.0,1.0,1.0,0.0,0.0,0.65
Bandit,0.8,0.6,0.8,0.6,0.25,0.3,0.5,0.4,0.8,0.0,0.0,0.65
Beast Master,0.7,0.7,0.8,0.7,0.7,0.6,1.0,1.0,0.7,0.0,0.0,0.65
Beast Tamer,0.6,0.6,0.7,0.6,0.6,0.5,0.9,0.9,0.6,0.0,0.0,0.55
Beast Trainer,0.5,0.5,0.6,0.5,0.5,0.4,0.8,0.8,0.5,0.0,0.0,0.45
Berserker,1.0,0.8,1.0,0.8,0.45,0.5,0.7,0.6,1.0,0.0,0.0,0.65
Bishop,0.8,1.0,0.45,0.5,1.0,1.0,0.6,0.6,0.5,0.0,0.0,1.00
Blacksmith,0.7,0.7,0.8,0.7,0.5,0.6,0.6,0.6,0.6,0.0,0.0,0.45
Brawler,0.9,0.7,0.9,0.8,0.35,0.4,0.9,0.6,0.7,0.0,0.0,0.45
Brigand,0.9,0.7,0.9,0.7,0.35,0.4,0.6,0.5,0.9,0.0,0.0,0.45
Cavalier,0.8,0.8,0.8,0.4,0.35,0.5,0.8,0.7,0.6,0.0,0.0,0.45
Chronomancer,0.7,1.0,0.45,0.6,1.0,1.0,0.6,0.7,0.5,0.0,0.0,1.00
Cleric,0.7,0.9,0.35,0.4,0.9,0.9,0.5,0.5,0.5,0.0,0.0,0.75
Cryomancer,0.7,1.0,0.45,0.6,1.0,1.0,0.6,0.7,0.5,0.0,0.0,1.00
Curate,0.6,0.8,0.25,0.3,0.8,0.8,0.4,0.4,0.5,0.0,0.0,0.80
Dancer,0.9,0.9,0.4,0.5,0.7,0.8,0.9,0.8,0.6,0.0,0.0,0.70
Dark Mage,0.5,0.8,0.25,0.4,0.8,0.8,0.4,0.5,0.5,0.0,0.0,0.80
Dark Sage,0.6,0.9,0.35,0.5,0.9,0.9,0.5,0.6,0.5,0.0,0.0,0.75
Dracoknight,1.0,1.0,1.0,0.8,0.45,0.5,0.5,0.7,0.7,0.0,0.0,0.80
Earth Mage,0.5,0.8,0.25,0.4,0.8,0.8,0.4,0.5,0.5,0.0,0.0,0.80
Earth Sage,0.6,0.9,0.35,0.5,0.9,0.9,0.5,0.6,0.5,0.0,0.0,0.75
Electromancer,0.7,1.0,0.45,0.6,1.0,1.0,0.6,0.7,0.5,0.0,0.0,1.00
Fighter,0.8,0.6,0.8,0.7,0.25,0.3,0.8,0.5,0.6,0.0,0.0,0.80
Fire Mage,0.5,0.8,0.25,0.4,0.8,0.8,0.4,0.5,0.5,0.0,0.0,0.80
Fire Sage,0.6,0.9,0.35,0.5,0.9,0.9,0.5,0.6,0.5,0.0,0.0,0.75
Flectomancer,0.8,0.8,0.9,0.8,0.6,0.7,0.7,0.7,0.7,0.0,0.0,0.70
General,1.0,0.7,0.5,1.0,0.45,0.4,0.5,0.6,0.7,0.0,0.0,1.00
Griffon Knight,0.6,0.6,0.6,0.6,0.25,0.6,0.8,0.7,0.5,0.0,0.0,0.65
Guardian,0.9,0.7,0.4,1.9,0.35,0.4,0.4,0.5,0.6,0.0,0.0,1.00
Hunter,0.6,0.6,0.8,0.6,0.25,0.4,0.8,0.8,0.7,0.0,0.0,0.45
Hydromancer,0.7,1.0,0.45,0.6,1.0,1.0,0.6,0.7,0.5,0.0,0.0,1.00
Ice Mage,0.5,0.8,0.25,0.4,0.8,0.8,0.4,0.5,0.5,0.0,0.0,0.80
Ice Sage,0.6,0.9,0.35,0.5,0.9,0.9,0.5,0.6,0.5,0.0,0.0,0.75
Jack Of All Trades,0.9,0.9,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.0,0.0,0.70
Knight,0.9,0.7,0.4,0.9,0.35,0.3,0.4,0.5,0.6,0.0,0.0,0.80
Light Mage,0.5,0.8,0.25,0.4,0.8,0.8,0.4,0.5,0.5,0.0,0.0,0.80
Light Sage,0.6,0.9,0.35,0.5,0.9,0.9,0.5,0.6,0.5,0.0,0.0,0.75
Lightning Mage,0.5,0.8,0.25,0.4,0.8,0.8,0.4,0.5,0.5,0.0,0.0,0.80
Lightning Sage,0.6,0.9,0.35,0.5,0.9,0.9,0.5,0.6,0.6,0.0,0.0,0.75
Lumomancer,0.7,1.0,0.45,0.6,1.0,1.0,0.6,0.7,0.5,0.0,0.0,1.00
Master Alchemist,0.7,0.8,1.0,0.5,0.7,1.0,0.6,1.0,0.7,0.0,0.0,1.00
Master Dancer,1.0,1.0,0.5,0.6,0.8,0.9,1.0,0.9,0.7,0.0,0.0,0.80
Master Guardian,1.0,0.8,0.5,2.0,0.45,0.5,0.5,0.6,0.7,0.0,0.0,1.00
Master Of All,1.0,1.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.0,0.80
Master Of None,0.8,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0,0.0,0.65
Mercenary,0.8,0.5,0.8,0.7,0.25,0.5,0.8,0.5,0.5,0.0,0.0,0.65
Monk,1.0,0.8,1.0,0.9,0.45,0.5,1.0,0.7,0.8,0.0,0.0,0.80
