Name,MHP,MMP,STR,DEF,MAG,RES,SPD,SKL,LCK,MOV,JMP,FRT
Aeromancer,10,20,0,4,10,10,4,6,5,1,0,10
Alchemist,5,10,4,2,4,5,3,5,5,1,1,4
Archer,5,5,3,2,0,1,5,5,5,1,1,1
Artisan,13,15,8,7,4,5,5,5,5,5,3,7
Assassin,10,10,6,6,0,6,10,10,5,2,2,7
Bandit,20,10,10,7,0,3,5,4,5,6,3,7
Beast Master,10,10,6,6,6,6,8,8,5,1,0,7
Beast Tamer,5,5,3,3,3,3,4,4,5,1,1,4
Beast Trainer,13,10,7,5,5,3,7,7,5,5,3,4
Berserker,20,10,10,8,0,4,6,4,5,1,0,8
Bishop,10,20,0,4,10,10,4,6,5,1,0,10
Blacksmith,5,10,5,4,2,3,3,5,5,1,1,3
Brawler,10,5,5,5,0,2,5,3,5,1,1,3
Brigand,10,5,5,4,0,2,3,2,5,1,1,2
Cavalier,10,5,4,2,0,3,5,5,5,2,1,4
Chronomancer,10,20,0,4,10,10,4,6,5,1,0,10
Cleric,5,10,0,2,5,5,2,3,5,1,1,4
Cryomancer,10,20,0,4,10,10,4,6,5,1,0,10
Curate,13,20,0,2,7,10,3,4,5,5,3,10
Dancer,5,10,2,3,4,5,5,5,5,1,1,4
Dark Mage,13,20,0,2,7,10,3,4,5,5,3,10
Dark Sage,5,10,0,2,5,5,2,3,5,1,1,4
Dracoknight,10,10,10,10,0,4,4,6,5,1,0,10
Earth Mage,13,20,0,2,7,10,3,4,5,5,3,10
Earth Sage,5,10,0,2,5,5,2,3,5,1,1,4
Electromancer,10,20,0,4,10,10,4,6,5,1,0,10
Fighter,20,10,10,10,0,3,8,5,5,6,3,10
Fire Mage,13,20,0,2,7,10,3,4,5,5,3,10
Fire Sage,5,10,0,2,5,5,2,3,5,1,1,4
Flectomancer,10,15,10,8,4,6,6,6,5,1,0,8
General,10,10,6,20,0,2,4,4,5,0,0,20
Griffon Knight,20,10,6,6,0,6,8,7,5,8,20,7
Guardian,5,5,2,10,0,1,2,3,5,0,0,10
Hunter,13,10,7,5,0,3,7,10,5,7,4,3
Hydromancer,10,20,0,4,10,10,4,6,5,1,0,10
Ice Mage,13,20,0,2,7,10,3,4,5,5,3,10
Ice Sage,5,10,0,2,5,5,2,3,5,1,1,4
Jack Of All Trades,8,8,3,3,3,3,3,3,5,1,1,4
Knight,5,5,3,10,0,1,2,2,5,-2,-1,10
Light Mage,13,20,0,2,7,10,3,4,5,5,3,10
Light Sage,5,10,0,2,5,5,2,3,5,1,1,4
Lightning Mage,13,20,0,2,7,10,3,4,5,5,3,10
Lightning Sage,5,10,0,2,5,5,2,3,5,1,1,4
Lumomancer,10,20,0,4,10,10,4,6,5,1,0,10
Master Alchemist,10,15,8,4,8,10,6,10,5,1,0,10
Master Dancer,10,15,4,6,8,10,10,10,5,1,0,10
Master Guardian,10,10,4,20,0,2,4,6,5,0,0,20
Master Of All,15,15,6,6,6,6,6,6,5,2,0,7
Master Of None,15,15,5,7,5,7,5,5,5,6,3,7
Mercenary,20,10,7,7,0,5,7,5,5,6,3,7
Monk,20,10,10,10,0,4,10,6,5,1,0,10
Myrmidon,10,5,4,4,0,2,3,3,5,1,1,2
Necromancer,10,20,0,4,10,10,4,6,5,1,0,10
Neophyte,13,15,5,2,5,10,4,8,5,5,3,10
Paladin,20,10,8,4,0,6,10,10,5,2,0,4
Pegasus Knight,5,5,2,3,0,5,5,4,5,1,0,3
Performer,15,15,2,3,6,8,10,8,5,6,3,9
Pyromancer,10,20,0,4,10,10,4,6,5,1,0,10
Rogue,5,5,3,3,0,3,5,5,5,2,2,4
Shield Bearer,15,10,2,10,0,2,2,3,5,4,2,10
Sniper,10,10,4,4,0,2,10,10,5,2,0,2
Soldier,20,10,7,7,0,3,7,6,5,6,3,7
Space Mage,13,20,0,2,7,10,3,4,5,5,3,10
Space Sage,5,10,0,2,5,5,2,3,5,1,1,4
Spatiomancer,10,20,0,4,10,10,4,6,5,1,0,10
Swordmaster,20,10,8,8,0,4,6,6,5,1,0,8
Terramancer,10,20,0,4,10,10,4,6,5,1,0,10
Thief,15,10,6,5,0,5,10,10,5,7,5,4
Time Mage,13,20,0,2,7,10,3,4,5,5,3,10
Time Sage,5,10,0,2,5,5,2,3,5,1,1,4
Valkyrie,10,10,4,6,0,10,10,8,5,1,0,10
Water Mage,13,20,0,2,7,10,3,4,5,5,3,10
Water Sage,5,10,0,2,5,5,2,3,5,1,1,4
Wind Mage,13,20,0,2,7,10,3,4,5,5,3,10
Wind Sage,5,10,0,2,5,5,2,3,5,1,1,4
Wyvern Knight,5,5,5,5,0,2,2,3,5,1,0,3
